番号,商店会,設置場所,業態,〒,住所１,住所２,住所3,住所4,住所5,電話番号,営業時間,定休
1,大倉山エルム通り商店会,ASA大倉山,新聞販売,222-0037,神奈川県,横浜市,港北区,大倉山3-15-19,,045-431-5871,"10:00〜18:00
日曜 10:00〜17:00",1/2・新聞休刊日
2,大倉山エルム通り商店会,大倉山振興会館（おへそ）,コミュニティスペース,222-0037,神奈川県,横浜市,港北区,大倉山2-5-11,,045-717-6778,10:00〜16:00,土曜・日曜・祝日
3,大倉山エルム通り商店会,KENSEI美容室 大倉山店,美容院,222-0037,神奈川県,横浜市,港北区,大倉山3-4-24,,045-543-6264,9:00〜19:00,火曜
4,大倉山エルム通り商店会,"パソコン教室 
 
 ディードットステーション
 
 大倉山教室",パソコン教室,222-0037,神奈川県,横浜市,港北区,大倉山2-4-10,,045-542-8450,13:00〜19:30,日曜･祝日
5,大倉山エルム通り商店会,（株）福田電気商会 大倉山店,電気店,222-0037,神奈川県,横浜市,港北区,大倉山3-1-22,,045-531-2170,10:00〜19:00,水曜
6,大倉山商店街レモンロード,大倉山青柳,和菓子,222-0037,神奈川県,横浜市,港北区,大倉山1-2-8,,045-531-0407,9:00〜20:00,第2・3木曜（変更の場合有）
7,大倉山商店街レモンロード,"stylish i:z frisΦr 
 
 スタイリッシュ イーズ フリザー",理容業,222-0037,神奈川県,横浜市,港北区,大倉山1-17-13,ファミーユ第2前川ビル104,045-543-5538,"10:00〜19:30
土曜・日曜 9:00〜19:30","火曜
 
第1・3月曜（変更の場合有）"
8,大曽根商店街,江田電気商会,家電,222-0003,神奈川県,横浜市,港北区,大曽根1-19-2,,045-531-0417,9:00〜20:00,日曜
9,大曽根商店街,（有）ふとんの愛知屋,寝具,222-0003,神奈川県,横浜市,港北区,大曽根1-19-6,,045-543-3100,9:00〜19:30,日曜
10,菊名池畔商店街協同組合,石堂書店,書店,222-0011,神奈川県,横浜市,港北区,菊名1-5-9,,045-401-9596,10:00〜20:00,第2・4日曜（変更の場合有）
11,菊名東口商栄会,（有）青木商事,管理業,222-0011,神奈川県,横浜市,港北区,菊名4-3-20,,045-431-4912,9:30〜18:30,水曜
12,菊名東口商栄会,（有）新井屋ふとん店,ふとん,222-0011,神奈川県,横浜市,港北区,菊名6-2-6,,045-401-9891,10:30〜19:00,水曜
13,菊名東口商栄会,協栄ハウジング（株）,不動産,222-0011,神奈川県,横浜市,港北区,菊名6-17-8,,045-433-1747,9:00〜18:00,水曜
14,菊名東口商栄会,（有）鈴木商事,不動産,222-0011,神奈川県,横浜市,港北区,菊名6-1-7,,045-432-3121,10:00〜18:00,水曜・第3日曜
15,菊名東口商栄会,"ナイス住まいの情報館 
 
 住まいるCafe菊名",不動産,222-0011,神奈川県,横浜市,港北区,菊名6-17-1,,045-421-4210,10:30〜18:00,無休
16,菊名東口商栄会,（有）本多時計眼鏡店,時計・めがね,222-0011,神奈川県,横浜市,港北区,菊名4-2-4,,045-401-9581,9:30〜20:00,日曜・祝日
17,小机商店街協同組合,（有）阿部家庭電器,家電販売,222-0036,神奈川県,横浜市,港北区,"小机町453-1
 
 リバ-メゾン1F",,045-471-7797,9:00〜19:00,水曜
18,小机商店街協同組合,（有）折本屋,和菓子店,222-0036,神奈川県,横浜市,港北区,小机町450-3,,045-471-5151,9:30〜20:00,日曜・月曜（不定休）
19,小机商店街協同組合,（株）キューピーキュー,不動産,222-0035,神奈川県,横浜市,港北区,鳥山町1012,,045-471-3535,"10:00〜19:00
日曜･祝日 10:00〜18:00",水曜
20,小机商店街協同組合,小机商店街（協）事務所,事務所,222-0036,神奈川県,横浜市,港北区,小机町1512,,045-471-8548,10:00〜17:00,火曜・木曜・土曜・日曜
21,小机商店街協同組合,（有）田嶋商会,自転車･バイク修理,222-0036,神奈川県,横浜市,港北区,小机町2530,,045-471-9102,10:00〜19:00,水曜
22,小机商店街協同組合,宮本輪業,自動車整備,222-0036,神奈川県,横浜市,港北区,小机町2479,,045-471-9149,8:00〜18:00,日曜・祝日
23,下田商店連合会,（有）岩崎シャツ,"オーダーシャツ･
 
 オーダースーツ
 
 専門店",223-0064,神奈川県,横浜市,港北区,下田町3-12-5,,045-564-4828,9:00〜19:00,木曜
24,下田商店連合会,ハロー・ケアマネジメントステーション,介護・福祉,223-0064,神奈川県,横浜市,港北区,下田町3-12-3,,045-564-0284,9:00〜17:30,"土曜・日曜・祝日
 年末年始"
25,高田中央商工会,(株)旭ホーム,不動産業,223-0065,神奈川県,横浜市,港北区,高田東3-12-15,,045-540-6102,9:30〜18:00,水曜
26,高田中央商工会,鶴屋酒店,酒類販売,223-0066,神奈川県,横浜市,港北区,高田西3-2-3,,045-592-3345,9:00〜21:00,火曜
27,高田中央商工会,ヘアーサロン タムラ,理容,223-0066,神奈川県,横浜市,港北区,高田西2-19-3,,045-592-8087,8:40〜19:10,火曜・第3月曜
28,高田中央商工会,読売新聞（有）寺越新聞店YC高田,新聞代理店,223-0066,神奈川県,横浜市,港北区,高田西4-2-15,,045-593-5022,10:00〜20:00,無休
29,綱島商店街連合会,自由亭,レストラン,223-0053,神奈川県,横浜市,港北区,綱島西1-6-19,コア15ビル2F,045-546-2211,"10:00〜22:00
日曜・祝日 10:00〜21:30",水曜
30,綱島商店街連合会,すみれ薬局,薬局,223-0053,神奈川県,横浜市,港北区,綱島西1-1-7,,045-531-0148,"9:00〜20:00
土曜 9:00〜19:00",日曜・祝日
31,綱島商店街連合会,"ナイス住まいの情報館 
 
 住まいるCafe綱島",不動産,223-0053,神奈川県,横浜市,港北区,綱島西2-3-2,,045-542-7301,10:30〜18:00,無休
32,綱島商店街連合会,中森本店,時計眼鏡宝石,223-0053,神奈川県,横浜市,港北区,綱島西1-6-15,,045-531-1712,10:00〜20:00,水曜
33,綱島商店街連合会,まるだい寝具店,寝具,223-0053,神奈川県,横浜市,港北区,綱島西4-1-25,,045-531-3867,10:00〜19:00,水曜
34,綱島商店街連合会,薬局トム・ファーマシー,調剤薬局,223-0053,神奈川県,横浜市,港北区,綱島西2-14-1,,045-531-9304,"9:00〜19:00
土曜 9:00〜18:00",日曜・祝日・年末年始
35,日吉商店街協同組合,でんきのサイト―,家電店,223-0062,神奈川県,横浜市,港北区,日吉本町1-5-7,日吉センタービル1F,045-563-2244,"10:00〜20:00
日曜・祝日 10:00〜19:00",木曜
36,日吉商店街協同組合,日吉商店街協同組合事務所,商店街事務所,223-0062,神奈川県,横浜市,港北区,日吉本町1-8-4,日吉本町東町会会館,045-561-2725,13:00〜15:00,火曜･木曜・土曜・日曜
37,南日吉商店会,ASA日吉本町,新聞販売店,223-0062,神奈川県,横浜市,港北区,日吉本町4-16-36,,045-561-4572,10:00〜20:00,土曜・日曜
38,南日吉商店会,こじま寝装,寝具,223-0062,神奈川県,横浜市,港北区,日吉本町3-27-15,,045-561-3849,9:30〜20:00,日曜・祝日
39,南日吉商店会,コメノイ電機,電気店,223-0062,神奈川県,横浜市,港北区,日吉本町3-31-1,,045-561-7739,9:00〜19:00,水曜
40,南日吉商店会,プチアントルメ,洋菓子,223-0062,神奈川県,横浜市,港北区,日吉本町3-28-24,,045-563-5232,9:00〜22:00,火曜
41,南日吉商店会,理容ナカムラ,理容,223-0062,神奈川県,横浜市,港北区,日吉本町4-11-7,,045-561-3876,9:00〜19:00,"火曜
 
 第2・4月曜"
42,箕輪町商工会,池田理容室,理容,223-0051,神奈川県,横浜市,港北区,箕輪町3-18-3,,045-563-5628,9:00〜19:00,"火曜
第1・2月曜"
43,妙蓮寺ニコニコ会,KENSEI美容室 妙蓮寺店,美容院,222-0011,神奈川県,横浜市,港北区,菊名1-4-2,,045-431-6449,9:00〜19:00,火曜
44,妙蓮寺ニコニコ会,染乃よこやま,着物,222-0011,神奈川県,横浜市,港北区,菊名1-4-8,,045-421-2802,10:00〜18:00,日曜・祝日
45,妙蓮寺ニコニコ会,VIP三晃 妙蓮寺店,家電製品販売,222-0011,神奈川県,横浜市,港北区,菊名1-5-11,,045-402-3435,10:00〜19:00,木曜
46,妙蓮寺ニコニコ会,美容室シン,美容院,222-0011,神奈川県,横浜市,港北区,菊名1-4-9,,045-432-9325,9:00〜18:30,火曜・第3水曜
47,妙蓮寺ニコニコ会,（株）福田電気商会 妙蓮寺店,家電小売,222-0011,神奈川県,横浜市,港北区,菊名1-4-1,,045-421-5752,10:00〜19:00,水曜
48,妙蓮寺ニコニコ会,ペンギンカメラ妙蓮寺店,写真・撮影スタジオ,222-0011,神奈川県,横浜市,港北区,菊名1-5-10,,045-401-1495,9:30〜19:30,日曜
49,その他,菊名調剤薬局,薬局,222-0013,神奈川県,横浜市,港北区,錦が丘16-14,,045-433-3555,"9:00〜19:30
土曜　9:00〜17:30",日曜・祝日
50,その他,クリエイトS・D横浜新羽店,薬局,223-0057,神奈川県,横浜市,港北区,新羽町1636-1,パティオワンビルM2F,045-540-0399,10:00〜22:00,年末年始
51,その他,クリエイトS・D港北下田町店,薬局,223-0064,神奈川県,横浜市,港北区,下田町4-3-10,,045-560-2180,10:00〜22:00,年末年始
52,その他,クリエイトS・D港北高田店,薬局,223-0066,神奈川県,横浜市,港北区,高田西2-11-30,,045-590-2017,9:00〜22:00,年末年始
53,その他,クリエイトS・D港北綱島西店,薬局,223-0053,神奈川県,横浜市,港北区,綱島西3-22-3,,045-534-0366,10:00〜22:00,年末年始
54,その他,クリエイトS・D港北日吉本町店,薬局,223-0062,神奈川県,横浜市,港北区,日吉本町4-1-41,,045-566-2260,10:00〜22:00,年末年始
55,その他,クリエイト薬局京町店,薬局,223-0057,神奈川県,横浜市,港北区,新羽町1671 ,"
イ-グル1F",045-549-0744,"8:30〜19:00
木曜 9:00〜18:00
土曜 8:30〜17:30",日曜・祝日
56,その他,クリエイト薬局港北大倉山店,薬局,222-0037,神奈川県,横浜市,港北区,港北区大倉山1-11-3,,045-541-9063,"9:00〜19:30
木曜　9:00〜19:00
土曜　9:00〜16:00",日曜・祝日
57,その他,クリエイト薬局日吉中央通り店,薬局,223-0062,神奈川県,横浜市,港北区,日吉本町1-18-18,"
BKCビル1F",045-564-8896,"9:00〜19:30
水曜　9:00〜19:00
土曜　9:00〜16:00",日曜・祝日
58,その他,クリエイト薬局日吉本町駅前店,薬局,223-0062,神奈川県,横浜市,港北区,日吉本町5-4-3,,045-560-3725,"9:00〜18:00
木曜・土曜　9:00〜17:30",日曜・祝日
59,その他,クリエイト薬局日吉本町店,薬局,223-0062,神奈川県,横浜市,港北区,日吉本町4-12-8,,045-564-3050,"9:00〜19:30
木曜・土曜　9:00〜18:00",日曜・祝日
60,その他,スリーエフ 北新横浜駅前店,コンビニ,223-0059,神奈川県,横浜市,港北区,北新横浜1-2-1,,045-544-8828,24時間,無休
61,その他,スリーエフ 港北高田駅前店,コンビニ,223-0065,神奈川県,横浜市,港北区,高田東4-24-43,,045-531-7487,24時間,無休
62,その他,スリーエフ 港北樽町店,コンビニ,222-0001,神奈川県,横浜市,港北区,樽町2-1-65,,045-532-1681,24時間,無休
63,その他,スリーエフ 港北綱島駅前店,コンビニ,223-0053,神奈川県,横浜市,港北区,綱島西1-5-2,,045-540-2615,24時間,無休
64,その他,スリーエフ 港北妙蓮寺店,コンビニ,222-0011,神奈川県,横浜市,港北区,菊名1-7-23,,045-431-0182,24時間,無休
65,その他,スリーエフ 岸根公園駅前店,コンビニ,222-0026,神奈川県,横浜市,港北区,篠原町1111,,045-439-5581,24時間,無休
66,その他,ハックドラッグ大倉山店,薬局,222-0037,神奈川県,横浜市,港北区,大倉山3-2-33,大倉屋ビル1F,045-543-8910,"9:00〜22:00
日曜・祝日 10:00〜21:00",無休
67,その他,ハックドラッグ新横浜店,薬局,222-0033,神奈川県,横浜市,港北区,新横浜2-3-10,YKー8ビル,045-478-1889,"8:00〜21:00
土曜 9:00〜20:00
日曜 10:00〜18:00
祝日 9:00〜20:00",無休
68,その他,ハックドラッグ高田調剤薬局,薬局,223-0065,神奈川県,横浜市,港北区,高田東4-1-23,,045-533-0828,"8:00〜21:00
土曜 9:00〜20:00
日曜・祝日 10:00〜18:00",無休
69,その他,ハックドラッグ綱島駅前店,薬局,223-0053,神奈川県,横浜市,港北区,綱島西1-6-6,アーバンシュロス綱島1F,045-540-0889,"9:00〜22:00
土曜 10:00〜22:00",日曜・祝日
70,その他,ハックドラッグ綱島店,薬局,223-0053,神奈川県,横浜市,港北区,綱島西2-13-23,,045-541-9089,"9:00〜22:00
日曜・祝日 10:00〜22:00",無休
71,その他,ハックドラッグ綱島西店,薬局,223-0053,神奈川県,横浜市,港北区,綱島西2-5-30,きくむらビル内,045-540-1745,"9:00〜22:00
日曜・祝日 10:00〜22:00",無休
72,その他,ハックドラッグライフガーデン綱島店,薬局,222-0001,神奈川県,横浜市,港北区,樽町3-2-28,ライフガーデン綱島1F,045-540-0089,10:00〜21:00,無休
73,その他,ユーコープ 大豆戸店,スーパー,222-0032,神奈川県,横浜市,港北区,大豆戸町914-1,,045-543-6410,9:30〜20:00,1/1〜1/3
74,その他,菊名ふじ薬局,薬局,222-0032,神奈川県,横浜市,港北区,大豆戸町204,,045-402-5001,"9:00〜19:00
土曜 9:00〜14:00",日曜・祝日
75,その他,（有）くすりの貝塚,薬局,223-0058,神奈川県,横浜市,港北区,新吉田東8-34-3,,045-542-2273,10:00〜18:00,日曜・祝日・12/31〜1/5
76,その他,厚生調剤薬局株式会社,調剤薬局,223-0061,神奈川県,横浜市,港北区,日吉5-6-20-101,,045-562-3861,"9:00〜18:30
土曜・祝日 9:00〜18:00",日曜
77,その他,こみや薬局,薬局,223-0053,神奈川県,横浜市,港北区,綱島西1-6-19,コア15ビル1F,045-542-7777,"9:00〜21:00
土曜 9:00〜19:00",日曜・祝日・12/31〜1/4
78,その他,"新横浜グレイスホテル 
 
 ティーラウンジ パレグレイス",飲食,222-0033,神奈川県,横浜市,港北区,新横浜3-6-15,,045-474-9511,"9:00〜19:30
土曜・日曜・祝日 8:00〜20:30",無休
79,その他,"新横浜グレイスホテル 
 
 日本料理 ぎん",飲食,222-0033,神奈川県,横浜市,港北区,新横浜3-6-15,,045-474-5861,11:00〜22:00,無休
80,その他,"スーパースポーツゼビオ 
 
 トレッサ横浜店",スポーツ用品,222-0002,神奈川県,横浜市,港北区,師岡町700,トレッサ横浜3F,045-533-3351,10:00〜21:00,無休
81,その他,そうごう薬局 高田駅前店,薬局,223-0065,神奈川県,横浜市,港北区,高田東3-1-8,,045-716-8411,"9:00〜18:30
土曜 9:00〜13:30
第2・4日曜 9:00〜13:00","第1・3・5日曜
祝日・年末年始 "
82,その他,"トレッサ横浜 南棟
 
 (インフォメーションカウンター)",ショッピングセンター,222-0002,神奈川県,横浜市,港北区,師岡町700,,045-534-2200,10:00〜21:00,無休
83,その他,（株）長澤商事不動産,不動産業,222-0003,神奈川県,横浜市,港北区,大曽根1-6-15,,045-542-1692,9:30〜18:00,"水曜
第2・3木曜"
84,その他,"BOURBON STREET K's BAR 
 
 バーボンストリートケーズバー",飲食,222-0023,神奈川県,横浜市,港北区,仲手原2-1-21,,045-434-3323,18:00〜25:00,木曜
85,その他,"Beスポーツ横浜
 
 (新横浜国際ホテル本館B1F)",スポーツ施設,222-0033,神奈川県,横浜市,港北区,新横浜3-18-1,新横浜国際ホテル本館B1F,045-472-2511,"9:00〜23:00
土曜 10:00〜21:00
日曜・祝日 10:00〜18:00",木曜・年末年始・お盆
86,その他,ヘアーサロンナカハラ,理容,223-0066,神奈川県,横浜市,港北区,高田西4-27-18,,045-591-1551,9:00〜19:00,"火曜
 第2・3月曜"
87,その他,みつばち薬局,薬局,223-0066,神奈川県,横浜市,港北区,高田西2-5-25,,045-590-5090,9:00〜18:00,日曜・祝日・12/31〜1/4
88,その他,"横浜F・マリノス 
 
 トリコロールワン スタジアムショップ",小売店,222-0036,神奈川県,横浜市,港北区,小机町3302-5,日産スタジアム東ゲート前,045-478-6044,"10:00〜17:00
 ※ホームゲーム開催日は異なる場合がございます。",火曜
89,その他,横浜菊名薬局,薬局,222-0011,神奈川県,横浜市,港北区,菊名4-3-46,,045-401-2622,"9:00〜18:00
土曜 9:00〜17:00",日曜・祝日
90,その他,横浜北YMCA,スポーツ施設,222-0011,神奈川県,横浜市,港北区,菊名6-13-57,,045-433-4321,"8:00〜21:15
日曜 8:00〜16:00",不定休
91,その他,ローヤルよつや新吉田店,スーパー,223-0058,神奈川県,横浜市,港北区,新吉田東4-1-7,,045-531-3428,"9:30〜21:00",元旦
92,その他,菊名地区センター,公共施設,222-0011,神奈川県,横浜市,港北区,菊名6-18-10,,045-421-1214,"9:00〜21:00
日曜・祝日 9:00〜17:00",第3月曜(祝日の場合は翌日）・年末年始
93,その他,"新羽地域ケアプラザ
 
 ・コミュニティハウス",福祉施設・公共施設,223-0057,神奈川県,横浜市,港北区,新羽町1240-1,,045-542-7207,"9:00〜21:00
日曜 9:00〜17:00",第4月曜・年末年始
94,その他,港北スポーツセンター,スポーツ施設,222-0032,神奈川県,横浜市,港北区,大豆戸町518-1,,045-544-2636,"7:30〜21:00
土曜・日曜・祝日 9:00〜21:00",第3月曜(祝日の場合は翌日）・年末年始
95,その他,"港北区地域子育て支援拠点
 
 どろっぷサテライト",公共施設,222-0052,神奈川県,横浜市,港北区,綱島東3-1-7,,045-633-1078,9:30〜16:00,月曜・日曜・祝日・年末年始
96,その他,港北公会堂,公共施設,222-0032,神奈川県,横浜市,港北区,大豆戸町26-1,,045-540-2400,9:00〜22:00,第2月曜（祝日の場合は翌日）・年末年始・その他臨時休館あり
97,その他,"障害者スポーツ文化センター 
 
 横浜ラポール",スポーツ文化センター,222-0035,神奈川県,横浜市,港北区,鳥山町1752,,045-475-2052,"9:30〜21:00
日曜・祝日 9:30〜17:00",第2火曜・年末年始
98,その他,スポーツ医科学センター,公共施設,222-0036,神奈川県,横浜市,港北区,小机町3302-5,(日産スタジアム内）,045-477-5050,"9:00〜21:00
日曜・祝日 9:00〜17:00","1〜3月：第3・4火曜
 
 4〜6月、9〜12月：第3火曜
 
 年末年始"
