市立／私立,地区,地図番号,保育園名,受入年齢,定員（〜1歳）,定員（2〜5歳）,合計,住所１,住所２,住所3,住所4,住所5,電話,FAX,交通
市立,日吉本町,1,南日吉保育園,６か月〜就学前,18,60,78,神奈川県,横浜市,港北区,日吉本町4-10-52,,045-561-6560,045-561-6604,日吉本町駅 徒歩10分/東急バスコンフォール南日吉 徒歩3分
市立,大曽根,3,大曽根保育園,１歳〜就学前,10,21,31,神奈川県,横浜市,港北区,大曽根2-5-1,,045-531-0034,045-531-0125,大倉山駅 徒歩10分
市立,大倉山,4,太尾保育園,６か月〜就学前,31,100,131,神奈川県,横浜市,港北区,大倉山4-24-7,,045-542-0852,045-542-0856,大倉山駅 徒歩12分
市立,菊名,5,菊名保育園,１歳〜就学前,12,66,78,神奈川県,横浜市,港北区,菊名3-10-20,,045-433-1259,045-433-1261,菊名駅 徒歩13分
市立,仲手原,6,港北保育園,６か月〜就学前,21,77,98,神奈川県,横浜市,港北区,仲手原2-20-19,,045-421-8575,045-421-8582,妙蓮寺駅 徒歩6分
私立,下田,7,グローバルキッズ下田町園,１歳〜就学前,4,36,40,神奈川県,横浜市,港北区,下田町3-16-25,,045-561-2555,045-548-8674,日吉駅 徒歩25分/東急バス新田坂下 徒歩1分
私立,日吉本町,8,アスク日吉本町第二保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,日吉本町2-46-24,,045-566-6445,045-620-4124,日吉本町駅 徒歩3分
私立,日吉本町,9,アスク日吉本町開善保育園,産休明け〜就学前,33,107,140,神奈川県,横浜市,港北区,日吉本町2-46-11,,045-562-0895,045-562-0897,日吉本町駅 徒歩3分
私立,日吉本町,10,ココファン・ナーサリー日吉本町,産休明け〜就学前,21,69,90,神奈川県,横浜市,港北区,日吉本町3-23-15,,045-560-2331,045-561-6670,日吉本町駅 徒歩7分
私立,日吉本町,11,横浜りとるぱんぷきんず,産休明け〜就学前,18,72,90,神奈川県,横浜市,港北区,日吉本町4-10-49,,045-560-5645,045-562-0620,日吉本町駅 徒歩10分/日吉駅東急バスコンフォール南日吉 徒歩1分
私立,日吉本町,12,日吉夢保育園,産休明け〜就学前,31,93,124,神奈川県,横浜市,港北区,日吉本町5-74-1,,045-562-4125,045-562-4134,日吉本町駅 徒歩10分
私立,日吉,13,グローバルキッズ日吉園,産休明け〜就学前,19,44,63,神奈川県,横浜市,港北区,日吉1-10-26,,045-562-0321,045-548-3303,日吉駅 徒歩7分
私立,日吉,14,太陽の子 日吉保育園,産休明け〜就学前,11,38,49,神奈川県,横浜市,港北区,日吉1-21-55,,045-566-6345,045-566-6346,日吉駅 徒歩11分
私立,日吉,15,日吉みんなの保育園,産休明け〜就学前,10,38,48,神奈川県,横浜市,港北区,日吉2-9-6,他,045-561-6041,045-561-6047,日吉駅 徒歩4分
私立,日吉,16,ベネッセ日吉保育園,産休明け〜就学前,19,51,70,神奈川県,横浜市,港北区,日吉4-1-1,,045-560-6506,045-560-6507,日吉駅 徒歩1分
私立,日吉,17,日吉こども園,産休明け〜就学前,16,44,60,神奈川県,横浜市,港北区,日吉5-11-24,,045-563-7873,045-563-7873,日吉駅 東急バス一本橋 徒歩1分
私立,日吉,18,くっくおさんぽ保育園,産休明け〜就学前,20,40,60,神奈川県,横浜市,港北区,日吉6-1-7,,045-566-6777,045-566-6778,日吉駅 東急バス宮前中町 徒歩1分
私立,日吉,19,アスク日吉東保育園,３か月〜就学前,21,69,90,神奈川県,横浜市,港北区,日吉7-20-44,,045-566-2226,045-566-2229,日吉駅 東急バス日大高校前 徒歩6分
私立,箕輪町,2,みのわのぞみ保育園,１歳〜就学前,9,68,77,神奈川県,横浜市,港北区,箕輪町3-7-2,,045-562-1210,045-562-1247,日吉駅 徒歩12分
私立,箕輪町,20,小学館アカデミーひよし保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,箕輪町2-2-12,,045-560-1710,045-560-1712,日吉駅 徒歩8分
私立,綱島東,21,アスクゆめみらい保育園,産休明け〜就学前,21,69,90,神奈川県,横浜市,港北区,綱島東4-1-5,,045-540-3030,045-540-3223,綱島駅 徒歩12分
私立,綱島東,22,グローバルキッズ綱島園,産休明け〜就学前,27,93,120,神奈川県,横浜市,港北区,綱島東4-11-38,,045-545-1717,045-717-9097,綱島駅 徒歩15分
私立,綱島東,23,マイ・ハート綱島東保育園,産休明け〜就学前,16,44,60,神奈川県,横浜市,港北区,綱島東3-4-32,,045-642-3700,045-642-3766,綱島駅 徒歩8分
私立,高田東,24,ケンパ高田,産休明け〜就学前,16,44,60,神奈川県,横浜市,港北区,高田東4-17-17,,045-540-0400,045-540-0401,高田駅 徒歩3分
私立,高田東,25,パレット保育園・高田,６か月〜就学前,15,45,60,神奈川県,横浜市,港北区,高田東4-22-28,,045-544-1149,045-547-1169,高田駅 徒歩2分
私立,高田東,26,あい保育園高田東,産休明け〜就学前,21,69,90,神奈川県,横浜市,港北区,高田東4-23-17,,045-859-9302,045-859-9303,高田駅 徒歩3分
私立,高田西,27,たかた保育園,１歳〜就学前,8,61,69,神奈川県,横浜市,港北区,高田西4-35-18,,045-592-3251,045-592-3264,高田駅・東山田駅 徒歩15分
私立,新吉田東,28,森のエルマー保育園,産休明け〜就学前,20,40,60,神奈川県,横浜市,港北区,新吉田東3-6-33,,045-546-6202,045-546-6202,高田駅 徒歩6分
私立,新吉田東,29,めぐみ保育園,５か月〜就学前,20,70,90,神奈川県,横浜市,港北区,新吉田東3-39-15,,045-590-0590,045-591-5505,高田駅 徒歩11分
私立,新吉田東,30,港北コスモス保育園,産休明け〜就学前,11,49,60,神奈川県,横浜市,港北区,新吉田東5-78-24,,045-716-8297,045-716-8298,綱島駅 東急バス新田農協前 徒歩0分
私立,新吉田東,31,しんよしだ保育園,産休明け〜就学前,30,118,148,神奈川県,横浜市,港北区,新吉田東6-17-3,,045-549-5821,045-549-5826,綱島駅・新羽駅 東急バス町内会館前 徒歩1分
私立,新羽町,32,新羽どろんこ保育園,産休明け〜就学前,20,70,90,神奈川県,横浜市,港北区,新羽町2185-1,,045-544-5033,045-544-5034,新羽駅 徒歩6分
私立,新羽町,33,オハナ新羽保育園,産休明け〜就学前,32,80,112,神奈川県,横浜市,港北区,新羽町1685-2,2F,045-532-0810,045-533-0838,新羽駅 徒歩1分
私立,新羽町,34,おおつな森の保育園,２歳〜就学前,-,24,24,神奈川県,横浜市,港北区,新羽町1020-1,,045-545-0620,045-545-0621,北新横浜駅 徒歩8分
私立,綱島西,35,パレット保育園・綱島,産休明け〜就学前,20,60,80,神奈川県,横浜市,港北区,綱島西1-2-9,,045-540-0301,045-545-0118,綱島駅 徒歩2分
私立,綱島西,36,尚花愛児園,産休明け〜就学前,43,147,190,神奈川県,横浜市,港北区,綱島西2-15-8,,045-542-4282,045-544-0605,綱島駅 徒歩7分
私立,綱島西,37,にじいろ保育園 綱島,産休明け〜就学前,16,40,56,神奈川県,横浜市,港北区,綱島西3-4-8,,045-717-7241,045-547-5533,綱島駅 徒歩6分
私立,大曽根,38,大倉山保育園,６か月〜就学前,21,69,90,神奈川県,横浜市,港北区,大曽根1-7-1,,045-542-5632,045-542-5734,大倉山駅 徒歩8分
私立,大曽根,39,おおつな保育園,産休明け〜就学前,57,144,201,神奈川県,横浜市,港北区,大曽根2-33-8,,045-531-0501,045-531-0520,綱島駅 徒歩12分
私立,樽町,40,大倉山元気の泉保育園,産休明け〜就学前,31,89,120,神奈川県,横浜市,港北区,樽町1-14-20,,045-532-0076,045-541-1501,大倉山駅・綱島駅 東急バス菖蒲園前 徒歩3分
私立,樽町,41,小学館アカデミーつなしま保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,樽町2-13-27,,045-542-1521,045-542-1523,綱島駅 徒歩8分
私立,樽町,42,なあな保育園,産休明け〜就学前,17,40,57,神奈川県,横浜市,港北区,樽町3-6-38,,045-543-0327,045-543-0326,綱島駅 臨港バス樽町徒歩1分
私立,大豆戸町,43,まめどくれしゅ,産休明け〜就学前,11,43,54,神奈川県,横浜市,港北区,大豆戸町40-3,,045-545-5002,045-545-5002,大倉山駅 徒歩6分
私立,大倉山,44,森の樹保育園,産休明け〜就学前,28,92,120,神奈川県,横浜市,港北区,大倉山1-22-5,,045-533-0242,045-533-0243,大倉山駅 徒歩10分
私立,大倉山,45,おおくらやまえきまえのぞみ保育園,５か月〜就学前,14,46,60,神奈川県,横浜市,港北区,大倉山3-5-16,,045-717-6660,045-717-6661,大倉山駅 徒歩1分
私立,大倉山,46,聖保育園,産休明け〜就学前,25,83,108,神奈川県,横浜市,港北区,大倉山3-41-17,他,045-543-3695,045-633-1505,大倉山駅 徒歩3分
私立,大倉山,47,アスク大倉山保育園,産休明け〜就学前,20,70,90,神奈川県,横浜市,港北区,大倉山4-1-1,1F,045-549-5282,045-717-8550,大倉山駅 徒歩7分
私立,大倉山,48,わおわお大倉山保育園,産休明け〜就学前,18,58,76,神奈川県,横浜市,港北区,大倉山5-7-2,他,045-549-6380,045-549-6382,大倉山駅 徒歩6分
私立,大倉山,49,くっくおさんぽ保育園大倉山,産休明け〜就学前,17,43,60,神奈川県,横浜市,港北区,大倉山5-39-23,,045-542-7236,045-542-7269,大倉山駅 徒歩8分
私立,小机町,50,ポピンズナーサリースクール小机,産休明け〜就学前,14,31,45,神奈川県,横浜市,港北区,小机町2580-1,,045-470-6621,045-470-6979,小机駅 徒歩1分
私立,新横浜,51,ペガサスベビー保育園,産休明け〜１歳,20,-,20,神奈川県,横浜市,港北区,新横浜1-19-18,101,045-475-1376,045-475-1365,新横浜駅 徒歩7分
私立,新横浜,52,岩崎学園新横浜保育園,産休明け〜就学前,38,102,140,神奈川県,横浜市,港北区,新横浜2-4-10,,045-474-2365,045-474-2375,新横浜駅 徒歩3分
私立,新横浜,53,岩崎学園新横浜第二保育園,産休明け〜就学前,32,88,120,神奈川県,横浜市,港北区,新横浜3-22-19,,045-474-5630,045-474-5629,新横浜駅 徒歩7分
私立,新横浜,54,ペガサス新横浜保育園,産休明け〜就学前,15,55,70,神奈川県,横浜市,港北区,新横浜3-24-14,,045-476-0768,045-476-0764,新横浜駅 徒歩10分
私立,新横浜,55,ペガサス夜間保育園,産休明け〜就学前,5,15,20,神奈川県,横浜市,港北区,新横浜3-24-14,,045-476-0769,045-476-0764,新横浜駅 徒歩10分
私立,菊名,56,リトルスカラー妙蓮寺保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,菊名1-17-8,,045-401-9002,045-401-9003,妙蓮寺駅 徒歩7分
私立,菊名,57,菊名愛児園,６か月〜就学前,20,100,120,神奈川県,横浜市,港北区,菊名4-5-1,,045-401-0431,045-431-6909,菊名駅 徒歩7分
私立,篠原北,58,光の園保育園,産休明け〜就学前,13,33,46,神奈川県,横浜市,港北区,篠原北2-4-9,他,045-423-6755,045-423-2438,菊名駅 徒歩2分
私立,篠原町,59,マーマしのはら保育園,３か月〜就学前,46,120,166,神奈川県,横浜市,港北区,篠原町974-25,他,045-439-0048,045-433-2202,新横浜駅・岸根公園駅 徒歩15分
私立,篠原町,60,第二福澤保育センター,産休明け〜就学前,41,127,168,神奈川県,横浜市,港北区,篠原町2823,,045-434-1135,045-434-1136,新横浜駅 徒歩7分
私立,岸根町,61,岸根保育園,産休明け〜就学前,20,80,100,神奈川県,横浜市,港北区,岸根町685-12,,045-491-1555,045-491-1567,岸根公園駅 徒歩10分/市バス六角橋中学校 徒歩7分
私立,師岡町,62,ヒューマンアカデミー大倉山保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,師岡町298番地,,045-546-3166,045-546-3167,大倉山駅 徒歩9分
私立,綱島西,63,第二尚花愛児園,６か月〜就学前,18,72,90,神奈川県,横浜市,港北区,綱島西1-16-27,,045-542-2004,045-541-7781,綱島駅 徒歩7分
私立,大豆戸町,64,大豆戸どろんこ保育園,産休明け〜就学前,20,70,90,神奈川県,横浜市,港北区,大豆戸町943,,045-710-0906,045-710-0916,大倉山駅 徒歩12分
私立,大豆戸町,65,パレット保育園・大豆戸,６か月〜就学前,15,45,60,神奈川県,横浜市,港北区,大豆戸町522‐1,,045-438-3149,045-432-5585,菊名駅 徒歩12分/新横浜駅 徒歩14分
私立,大倉山,66,たんぽぽ保育園,産休明け〜３歳,18,24,42,神奈川県,横浜市,港北区,大倉山5-40-15,,045-633-4141,045-642-7664,大倉山駅 徒歩9分
私立,大倉山,67,くっくおさんぽ保育園ふとお,産休明け〜就学前,21,40,61,神奈川県,横浜市,港北区,大倉山7丁目40番2,,045-533-3375,045-533-3376,大倉山駅 徒歩15分
私立,菊名,68,うみのくに保育園きくな,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,菊名7-5-36,,045-877-4284,045-877-4284,菊名駅 徒歩9分/大倉山駅 徒歩8分
私立,菊名,69,光の園第二保育園,産休明け〜就学前,12,36,48,神奈川県,横浜市,港北区,菊名6-21-7,,045-401-8020,045-423-2438,菊名駅 徒歩6分
私立,綱島東,70,テンダーラビング保育園綱島東,産休明け〜就学前,16,44,60,神奈川県,横浜市,港北区,綱島東4-10-34,,045-633-7258,045-633-7265,日吉駅 東急バス綱島東4丁目 徒歩3分
私立,綱島西,71,わかさと保育園,産休明け〜就学前,14,46,60,神奈川県,横浜市,港北区,綱島西6-3-13,,045-546-0551,045-546-0552,日吉本町駅 徒歩10分
