#第15表移動前・移動後住所地（市内他区、県内各市郡、東京都区部及び政令指定都市）、男女別転入転出者数−港北区,,,,,,,,,
#平成27年中,,,,,,,,,
移動前後住所地,移動前住所地別転入者数（総数）,移動前住所地別転入者数（男）,移動前住所地別転入者数（女）,移動後住所地別転出者数（総数）,移動後住所地別転出者数（男）,移動後住所地別転出者数（女）,転入超過数（総数）,転入超過数（男）,転入超過数（女）
鶴見区,731,391,340,776,393,383,-45,-2,-43
神奈川区,1182,634,548,1245,621,624,-63,13,-76
西区,206,108,98,208,107,101,-2,1,-3
中区,273,132,141,329,173,156,-56,-41,-15
南区,255,126,129,222,114,108,33,12,21
港南区,224,111,113,166,86,80,58,25,33
保土ケ谷区,299,147,152,318,154,164,-19,-7,-12
旭区,228,104,124,309,157,152,-81,-53,-28
磯子区,163,78,85,211,104,107,-48,-26,-22
金沢区,160,80,80,118,58,60,42,22,20
緑区,373,185,188,637,323,314,-264,-138,-126
青葉区,372,201,171,398,205,193,-26,-4,-22
都筑区,675,345,330,1188,615,573,-513,-270,-243
戸塚区,223,111,112,247,126,121,-24,-15,-9
栄区,95,64,31,81,49,32,14,15,-1
泉区,102,42,60,112,59,53,-10,-17,7
瀬谷区,85,45,40,87,46,41,-2,-1,-1
市内他区計,5646,2904,2742,6652,3390,3262,-1006,-486,-520
川崎区,153,74,79,202,114,88,-49,-40,-9
幸区,237,124,113,340,182,158,-103,-58,-45
中原区,925,486,439,849,427,422,76,59,17
高津区,350,184,166,409,205,204,-59,-21,-38
宮前区,210,125,85,199,101,98,11,24,-13
多摩区,160,80,80,127,68,59,33,12,21
麻生区,68,34,34,72,34,38,-4,0,-4
川崎市,2103,1107,996,2198,1131,1067,-95,-24,-71
緑区,30,15,15,50,23,27,-20,-8,-12
中央区,136,77,59,112,63,49,24,14,10
南区,111,46,65,136,72,64,-25,-26,1
相模原市,277,138,139,298,158,140,-21,-20,-1
横須賀市,191,92,99,133,71,62,58,21,37
平塚市,80,40,40,53,29,24,27,11,16
鎌倉市,92,49,43,108,45,63,-16,4,-20
藤沢市,197,99,98,209,103,106,-12,-4,-8
小田原市,73,34,39,41,21,20,32,13,19
茅ケ崎市,104,49,55,91,48,43,13,1,12
逗子市,38,12,26,46,24,22,-8,-12,4
三浦市,19,9,10,15,8,7,4,1,3
秦野市,52,30,22,33,18,15,19,12,7
厚木市,91,52,39,35,23,12,56,29,27
大和市,110,48,62,112,69,43,-2,-21,19
伊勢原市,38,15,23,21,11,10,17,4,13
海老名市,50,36,14,39,18,21,11,18,-7
座間市,45,26,19,40,19,21,5,7,-2
南足柄市,20,14,6,8,7,1,12,7,5
綾瀬市,20,9,11,13,6,7,7,3,4
高座郡,12,4,8,7,4,3,5,0,5
三浦郡,13,7,6,9,4,5,4,3,1
中郡,22,9,13,39,20,19,-17,-11,-6
足柄上郡,8,7,1,10,5,5,-2,2,-4
足柄下郡,12,6,6,9,2,7,3,4,-1
愛甲郡,12,8,4,8,6,2,4,2,2
県内各市郡,3679,1900,1779,3575,1850,1725,104,50,54
千代田区,27,17,10,33,20,13,-6,-3,-3
中央区,51,30,21,93,55,38,-42,-25,-17
港区,137,78,59,255,139,116,-118,-61,-57
新宿区,149,83,66,176,102,74,-27,-19,-8
文京区,80,42,38,84,49,35,-4,-7,3
台東区,47,22,25,80,41,39,-33,-19,-14
墨田区,78,40,38,91,45,46,-13,-5,-8
江東区,96,48,48,176,100,76,-80,-52,-28
品川区,338,172,166,341,200,141,-3,-28,25
目黒区,469,234,235,430,211,219,39,23,16
大田区,605,314,291,554,275,279,51,39,12
世田谷区,597,286,311,586,284,302,11,2,9
渋谷区,116,61,55,156,78,78,-40,-17,-23
中野区,139,70,69,126,72,54,13,-2,15
杉並区,240,118,122,208,102,106,32,16,16
豊島区,115,62,53,131,77,54,-16,-15,-1
北区,81,45,36,112,56,56,-31,-11,-20
荒川区,31,14,17,56,33,23,-25,-19,-6
板橋区,147,69,78,179,93,86,-32,-24,-8
練馬区,211,106,105,191,103,88,20,3,17
足立区,105,48,57,112,67,45,-7,-19,12
葛飾区,63,34,29,79,50,29,-16,-16,0
江戸川区,110,64,46,161,90,71,-51,-26,-25
東京都区部,4032,2057,1975,4410,2342,2068,-378,-285,-93
札幌市,157,78,79,193,112,81,-36,-34,-2
仙台市,208,100,108,150,97,53,58,3,55
さいたま市,179,87,92,221,124,97,-42,-37,-5
千葉市,117,61,56,128,74,54,-11,-13,2
新潟市,76,45,31,52,27,25,24,18,6
静岡市,119,68,51,69,37,32,50,31,19
浜松市,65,35,30,45,28,17,20,7,13
名古屋市,383,216,167,235,146,89,148,70,78
京都市,118,65,53,108,64,44,10,1,9
大阪市,214,131,83,215,145,70,-1,-14,13
堺市,48,30,18,26,15,11,22,15,7
神戸市,143,73,70,92,57,35,51,16,35
岡山市,35,17,18,27,14,13,8,3,5
広島市,129,77,52,111,65,46,18,12,6
北九州市,60,35,25,33,15,18,27,20,7
福岡市,200,110,90,184,102,82,16,8,8
熊本市,41,19,22,37,20,17,4,-1,5
