#第15表　町別、産業大分類別事業所数及び従業者数 - 港北区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高田町,たかたちよう,40,250,124,126,1,2,0,2,0,0,0,0,0,0,0,0,10,47,38,9,7,49,25,24,0,0,0,0,0,0,0,0,0,0,0,0,5,27,13,14,0,0,0,0,7,22,11,11,1,13,2,11,0,0,0,0,0,0,0,0,1,6,4,2,3,58,9,49,0,0,0,0,5,26,22,4
高田西一丁目,たかたにし1ちようめ,74,595,410,185,0,0,0,0,0,0,0,0,0,0,0,0,9,67,57,10,27,234,197,37,0,0,0,0,0,0,0,0,0,0,0,0,10,106,61,45,2,16,11,5,3,30,19,11,1,23,13,10,14,73,26,47,4,33,20,13,0,0,0,0,2,8,3,5,0,0,0,0,2,5,3,2
高田西二丁目,たかたにし2ちようめ,69,481,200,281,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,3,4,15,9,6,0,0,0,0,3,10,7,3,0,0,0,0,15,155,61,94,1,6,5,1,3,17,16,1,3,17,5,12,22,70,26,44,6,15,6,9,3,5,1,4,5,160,56,104,0,0,0,0,0,0,0,0
高田西三丁目,たかたにし3ちようめ,35,343,165,178,0,0,0,0,0,0,0,0,0,0,0,0,8,60,56,4,5,49,33,16,0,0,0,0,1,5,4,1,1,1,1,0,8,101,31,70,0,0,0,0,2,16,8,8,0,0,0,0,2,16,3,13,0,0,0,0,1,3,1,2,3,81,19,62,0,0,0,0,4,11,9,2
高田西四丁目,たかたにし4ちようめ,44,181,99,82,0,0,0,0,0,0,0,0,0,0,0,0,9,35,23,12,5,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,9,44,26,18,0,0,0,0,4,8,5,3,5,14,8,6,1,5,2,3,5,12,6,6,3,22,4,18,1,7,0,7,0,0,0,0,2,16,14,2
高田西五丁目,たかたにし5ちようめ,25,94,57,37,0,0,0,0,0,0,0,0,0,0,0,0,4,14,7,7,4,41,35,6,0,0,0,0,2,4,3,1,0,0,0,0,3,7,1,6,0,0,0,0,8,17,6,11,1,2,1,1,2,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
高田東一丁目,たかたひがし1ちようめ,46,275,144,131,0,0,0,0,0,0,0,0,0,0,0,0,8,69,54,15,2,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,11,74,42,32,0,0,0,0,6,20,10,10,1,4,1,3,2,20,10,10,5,14,3,11,4,26,6,20,6,31,9,22,1,8,3,5,0,0,0,0
高田東二丁目,たかたひがし2ちようめ,23,97,57,40,0,0,0,0,0,0,0,0,0,0,0,0,4,18,14,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,16,16,0,0,0,0,9,29,21,8,1,5,3,2,0,0,0,0,1,2,0,2,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0
高田東三丁目,たかたひがし3ちようめ,35,185,66,119,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,24,11,1,4,2,2,5,13,6,7,2,15,4,11,5,45,10,35,3,3,1,2,0,0,0,0,7,56,10,46,0,0,0,0,0,0,0,0
高田東四丁目,たかたひがし4ちようめ,62,363,208,155,0,0,0,0,0,0,0,0,0,0,0,0,10,66,52,14,7,30,22,8,0,0,0,0,1,3,2,1,1,23,19,4,12,82,33,49,1,15,11,4,7,15,7,8,1,3,2,1,9,22,4,18,6,45,38,7,1,0,0,0,5,58,18,40,0,0,0,0,1,1,0,1
樽町一丁目,たるまち1ちようめ,79,870,397,473,0,0,0,0,0,0,0,0,0,0,0,0,3,25,20,5,13,89,72,17,0,0,0,0,0,0,0,0,2,7,6,1,14,152,88,64,0,0,0,0,15,34,19,15,4,21,11,10,9,92,31,61,7,33,19,14,1,15,3,12,7,329,68,261,1,6,3,3,3,67,57,10
樽町二丁目,たるまち2ちようめ,106,945,503,442,0,0,0,0,0,0,0,0,0,0,0,0,7,27,20,7,15,194,158,36,0,0,0,0,1,144,103,41,0,0,0,0,20,132,70,62,0,0,0,0,8,18,8,10,2,4,1,3,27,151,59,92,8,40,24,16,4,22,9,13,11,206,45,161,0,0,0,0,3,7,6,1
樽町三丁目,たるまち3ちようめ,101,1675,1047,628,0,0,0,0,0,0,0,0,0,0,0,0,11,85,76,9,21,739,599,140,0,0,0,0,1,10,5,5,1,23,23,0,21,381,166,215,0,0,0,0,13,127,67,60,3,12,8,4,8,68,29,39,6,58,28,30,3,5,2,3,8,127,18,109,0,0,0,0,5,40,26,14
樽町四丁目,たるまち4ちようめ,127,1294,926,368,0,0,0,0,0,0,0,0,0,0,0,0,11,107,88,19,67,575,452,123,0,0,0,0,0,0,0,0,2,22,16,6,20,310,192,118,0,0,0,0,9,34,17,17,4,131,120,11,5,72,26,46,2,8,3,5,2,6,0,6,1,8,0,8,0,0,0,0,4,21,12,9
綱島上町,つなしまかみちよう,9,57,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,10,17,0,0,0,0,3,13,7,6,1,4,4,0,0,0,0,0,2,6,1,5,0,0,0,0,1,7,1,6,0,0,0,0,0,0,0,0
綱島台,つなしまだい,61,471,266,205,0,0,0,0,0,0,0,0,0,0,0,0,7,26,19,7,2,13,10,3,0,0,0,0,1,2,1,1,1,258,163,95,7,34,21,13,2,4,2,2,27,59,28,31,2,4,2,2,2,3,1,2,4,6,2,4,1,17,0,17,2,9,1,8,1,22,15,7,2,14,1,13
綱島西一丁目,つなしまにし1ちようめ,269,2204,953,1236,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,2,2,4,3,1,0,0,0,0,4,26,19,7,2,16,14,2,61,498,148,350,9,169,57,112,31,120,67,53,5,34,25,9,75,840,449,376,37,174,68,106,12,74,27,47,25,223,56,167,0,0,0,0,3,10,6,4
綱島西二丁目,つなしまにし2ちようめ,294,2552,996,1535,0,0,0,0,0,0,0,0,0,0,0,0,5,23,19,4,3,14,11,3,0,0,0,0,11,54,35,19,0,0,0,0,63,649,232,417,4,121,41,80,27,145,76,69,12,29,19,10,41,326,159,146,43,298,149,149,28,340,131,209,43,490,94,396,1,2,1,1,13,61,29,32
綱島西三丁目,つなしまにし3ちようめ,102,620,295,325,1,9,8,1,0,0,0,0,0,0,0,0,7,37,32,5,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,18,103,48,55,1,4,2,2,6,17,14,3,6,32,17,15,22,121,75,46,13,85,33,52,5,17,7,10,17,170,44,126,1,11,6,5,3,8,5,3
綱島西四丁目,つなしまにし4ちようめ,63,482,245,237,0,0,0,0,0,0,0,0,0,0,0,0,6,21,17,4,2,29,21,8,0,0,0,0,0,0,0,0,0,0,0,0,15,158,50,108,1,13,8,5,8,22,10,12,0,0,0,0,11,31,8,23,10,28,11,17,3,16,12,4,5,47,8,39,0,0,0,0,2,117,100,17
綱島西五丁目,つなしまにし5ちようめ,67,361,188,173,0,0,0,0,0,0,0,0,0,0,0,0,9,49,39,10,7,68,43,25,0,0,0,0,2,6,5,1,2,15,12,3,15,69,24,45,0,0,0,0,4,8,6,2,5,28,25,3,8,50,16,34,5,11,3,8,4,17,3,14,6,40,12,28,0,0,0,0,0,0,0,0
綱島西六丁目,つなしまにし6ちようめ,42,239,138,101,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,2,19,13,6,1,1,1,0,12,124,84,40,0,0,0,0,6,18,12,6,4,6,4,2,3,34,7,27,2,4,2,2,2,13,1,12,1,2,1,1,0,0,0,0,6,14,9,5
綱島東一丁目,つなしまひがし1ちようめ,126,1063,491,572,0,0,0,0,0,0,0,0,0,0,0,0,3,17,11,6,2,11,6,5,0,0,0,0,2,10,7,3,2,23,19,4,17,176,69,107,4,57,14,43,24,113,61,52,3,9,5,4,24,208,91,117,14,180,104,76,5,44,25,19,25,214,79,135,0,0,0,0,1,1,0,1
綱島東二丁目,つなしまひがし2ちようめ,93,1241,852,339,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,3,3,167,141,26,0,0,0,0,0,0,0,0,0,0,0,0,17,563,430,116,0,0,0,0,40,107,64,43,2,5,2,3,8,128,57,38,5,16,6,10,3,34,27,7,9,59,13,46,1,7,4,3,4,144,100,44
綱島東三丁目,つなしまひがし3ちようめ,56,345,188,157,0,0,0,0,0,0,0,0,0,0,0,0,7,34,27,7,13,103,51,52,0,0,0,0,0,0,0,0,3,63,62,1,5,14,6,8,0,0,0,0,6,12,5,7,2,2,2,0,8,30,7,23,2,39,7,32,0,0,0,0,4,26,4,22,0,0,0,0,6,22,17,5
綱島東四丁目,つなしまひがし4ちようめ,52,444,263,181,0,0,0,0,0,0,0,0,0,0,0,0,5,27,22,5,17,120,87,33,0,0,0,0,0,0,0,0,0,0,0,0,8,164,95,69,0,0,0,0,3,6,3,3,2,16,11,5,3,26,14,12,4,11,4,7,0,0,0,0,7,52,8,44,0,0,0,0,3,22,19,3
綱島東五丁目,つなしまひがし5ちようめ,103,1300,870,430,0,0,0,0,0,0,0,0,0,0,0,0,8,37,28,9,53,886,660,226,0,0,0,0,1,4,2,2,4,154,56,98,14,89,45,44,0,0,0,0,3,7,6,1,3,20,13,7,3,10,5,5,2,33,19,14,1,11,3,8,5,19,7,12,0,0,0,0,6,30,26,4
綱島東六丁目,つなしまひがし6ちようめ,87,1565,1244,321,0,0,0,0,0,0,0,0,0,0,0,0,10,138,120,18,57,1137,898,239,1,64,61,3,0,0,0,0,1,44,42,2,8,74,56,18,0,0,0,0,1,2,1,1,1,36,29,7,1,5,1,4,0,0,0,0,0,0,0,0,2,12,8,4,0,0,0,0,5,53,28,25
鳥山町,とりやまちよう,189,2381,1385,970,1,10,5,5,0,0,0,0,0,0,0,0,36,200,152,48,13,55,29,26,0,0,0,0,2,3,3,0,7,446,423,23,42,736,382,354,0,0,0,0,34,85,51,34,3,27,22,5,17,158,53,79,9,120,57,63,4,154,78,76,8,234,62,172,2,13,5,8,11,140,63,77
仲手原一丁目,なかてはら1ちようめ,29,74,34,40,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,4,10,5,5,1,1,1,0,3,11,6,5,0,0,0,0,5,9,6,3,6,13,8,5,3,13,3,10,0,0,0,0,0,0,0,0,5,13,1,12,0,0,0,0,0,0,0,0
仲手原二丁目,なかてはら2ちようめ,72,581,286,295,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,3,1,3,1,2,0,0,0,0,2,2,2,0,0,0,0,0,14,79,28,51,2,8,4,4,6,20,15,5,1,4,3,1,8,37,22,15,15,58,23,35,5,150,113,37,11,187,54,133,0,0,0,0,5,25,16,9
錦が丘,にしきがおか,45,302,89,213,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,9,3,32,15,17,0,0,0,0,1,2,1,1,1,1,1,0,3,30,10,20,0,0,0,0,7,14,7,7,7,21,14,7,4,12,3,9,3,5,3,2,4,30,10,20,10,138,19,119,0,0,0,0,1,2,0,2
新羽町,につぱちよう,890,11173,7666,3422,0,0,0,0,0,0,0,0,0,0,0,0,76,727,612,115,309,4058,3136,922,0,0,0,0,4,45,41,4,26,1296,1084,212,154,1983,1348,635,6,76,30,46,103,519,264,255,13,86,51,35,44,607,199,323,29,296,144,152,7,38,12,26,42,643,194,449,1,15,8,7,76,784,543,241
日吉一丁目,ひよし1ちようめ,26,133,70,63,0,0,0,0,0,0,0,0,0,0,0,0,2,32,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,21,11,1,3,2,1,4,6,3,3,3,5,3,2,2,4,2,2,5,8,4,4,1,1,0,1,3,37,5,32,0,0,0,0,1,5,3,2
日吉二丁目,ひよし2ちようめ,232,2303,1016,1262,0,0,0,0,0,0,0,0,0,0,0,0,7,20,11,9,2,43,36,7,0,0,0,0,4,8,7,1,1,127,115,12,78,907,308,574,11,110,24,86,37,153,87,66,6,11,5,6,33,392,217,175,17,75,34,41,14,131,61,70,17,298,98,200,1,13,6,7,4,15,7,8
日吉三丁目,ひよし3ちようめ,61,718,481,237,0,0,0,0,0,0,0,0,0,0,0,0,6,14,12,2,2,8,5,3,0,0,0,0,1,2,1,1,1,18,16,2,11,67,35,32,1,1,0,1,21,44,22,22,1,1,1,0,7,27,21,6,3,33,13,20,3,474,344,130,3,26,10,16,0,0,0,0,1,3,1,2
日吉四丁目,ひよし4ちようめ,42,1196,593,603,0,0,0,0,0,0,0,0,0,0,0,0,5,22,14,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,22,64,0,0,0,0,3,12,7,5,1,3,3,0,9,153,26,127,7,89,38,51,2,647,423,224,2,44,1,43,0,0,0,0,6,139,58,81
日吉五丁目,ひよし5ちようめ,71,626,292,334,0,0,0,0,0,0,0,0,0,0,0,0,8,36,30,6,5,27,21,6,0,0,0,0,5,19,9,10,1,30,30,0,10,144,88,56,0,0,0,0,20,73,37,36,2,5,4,1,3,43,13,30,6,34,11,23,0,0,0,0,6,194,32,162,0,0,0,0,5,21,17,4
日吉六丁目,ひよし6ちようめ,45,504,294,210,0,0,0,0,0,0,0,0,0,0,0,0,9,65,56,9,10,68,50,18,0,0,0,0,0,0,0,0,3,59,51,8,8,72,34,38,0,0,0,0,4,17,10,7,0,0,0,0,3,50,19,31,1,7,4,3,1,58,49,9,4,57,6,51,0,0,0,0,2,51,15,36
日吉七丁目,ひよし7ちようめ,101,1134,701,433,0,0,0,0,0,0,0,0,0,0,0,0,6,40,33,7,30,496,347,149,0,0,0,0,0,0,0,0,1,12,12,0,21,234,149,85,0,0,0,0,4,6,2,4,3,33,20,13,14,74,36,38,6,70,23,47,1,6,0,6,4,52,13,39,1,9,1,8,10,102,65,37
日吉本町一丁目,ひよしほんちよう1ちようめ,442,3320,1546,1763,0,0,0,0,0,0,0,0,0,0,0,0,8,29,20,9,3,12,9,3,0,0,0,0,8,27,16,11,1,10,10,0,70,417,174,243,4,77,7,70,72,255,147,108,10,73,43,30,104,995,559,425,52,263,122,141,33,496,261,235,70,614,143,471,1,10,4,6,6,42,31,11
日吉本町二丁目,ひよしほんちよう2ちようめ,64,382,137,245,0,0,0,0,0,0,0,0,0,0,0,0,5,30,23,7,1,2,2,0,0,0,0,0,1,5,4,1,0,0,0,0,5,20,7,13,0,0,0,0,17,41,21,20,4,21,13,8,7,45,17,28,9,18,8,10,2,18,10,8,7,153,21,132,0,0,0,0,6,29,11,18
日吉本町三丁目,ひよしほんちよう3ちようめ,111,530,262,268,0,0,0,0,0,0,0,0,0,0,0,0,10,36,31,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,34,194,92,102,0,0,0,0,14,38,23,15,5,9,3,6,19,53,21,32,12,18,7,11,4,22,18,4,8,132,51,81,1,19,9,10,3,5,4,1
日吉本町四丁目,ひよしほんちよう4ちようめ,86,719,316,403,0,0,0,0,0,0,0,0,0,0,0,0,9,63,55,8,2,58,53,5,0,0,0,0,2,3,1,2,0,0,0,0,22,317,117,200,0,0,0,0,5,9,4,5,6,7,4,3,11,40,25,15,11,27,11,16,5,42,13,29,9,135,24,111,1,10,2,8,3,8,7,1
日吉本町五丁目,ひよしほんちよう5ちようめ,31,142,75,67,0,0,0,0,0,0,0,0,0,0,0,0,8,44,36,8,2,7,5,2,0,0,0,0,1,2,1,1,0,0,0,0,5,12,2,10,1,4,3,1,4,16,8,8,4,7,5,2,0,0,0,0,1,1,0,1,1,1,1,0,3,43,11,32,0,0,0,0,1,5,3,2
日吉本町六丁目,ひよしほんちよう6ちようめ,19,133,63,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,7,86,40,46,1,3,1,2,1,1,1,0,3,7,3,4,1,2,1,1,0,0,0,0,0,0,0,0,1,10,2,8,0,0,0,0,3,21,13,8
富士塚一丁目,ふじづか1ちようめ,25,175,66,109,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,15,5,10,0,0,0,0,6,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,10,140,52,88,0,0,0,0,0,0,0,0
富士塚二丁目,ふじづか2ちようめ,25,54,29,25,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,11,19,11,8,5,8,6,2,0,0,0,0,0,0,0,0,3,13,3,10,1,1,1,0,0,0,0,0,1,1,1,0
大豆戸町,まめどちよう,281,3459,2037,1349,0,0,0,0,0,0,0,0,0,0,0,0,21,189,165,24,7,775,610,165,0,0,0,0,3,10,8,2,4,169,143,26,61,747,410,337,5,39,15,24,34,67,39,28,25,141,99,42,27,274,92,109,18,54,26,28,15,81,42,39,38,689,221,468,1,22,12,10,22,202,155,47
箕輪町一丁目,みのわちよう1ちようめ,45,1187,836,340,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,799,606,193,0,0,0,0,9,135,90,45,1,1,1,0,18,63,26,26,4,81,65,16,4,66,34,32,1,6,0,6,1,10,7,3,2,23,5,18,0,0,0,0,2,2,1,1
箕輪町二丁目,みのわちよう2ちようめ,170,2266,1146,1088,0,0,0,0,0,0,0,0,0,0,0,0,9,35,26,9,50,896,479,417,0,0,0,0,3,58,56,2,0,0,0,0,53,673,283,390,2,7,2,5,5,11,5,6,3,16,2,14,13,206,85,89,13,74,22,52,6,211,151,60,9,61,19,42,0,0,0,0,4,18,16,2
箕輪町三丁目,みのわちよう3ちようめ,35,128,62,66,0,0,0,0,0,0,0,0,0,0,0,0,5,23,19,4,8,35,19,16,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,5,12,5,7,1,2,1,1,2,7,0,7,4,10,5,5,0,0,0,0,2,22,6,16,0,0,0,0,6,14,5,9
師岡町,もろおかちよう,349,4144,2169,1943,0,0,0,0,0,0,0,0,0,0,0,0,21,144,121,23,12,576,439,137,1,3,2,1,0,0,0,0,4,71,58,13,163,1616,757,859,2,9,1,8,23,64,37,27,11,276,159,117,53,836,334,470,24,299,152,147,9,38,6,32,12,113,39,74,2,16,6,10,12,83,58,25
港北区　2),こうほくく,11345,141277,83573,57084,11,135,69,66,0,0,0,0,0,0,0,0,840,7410,6092,1318,1355,20110,15207,4903,4,217,187,30,287,9962,8098,1864,145,5135,4309,826,2691,36221,20211,15913,154,2735,1243,1492,1401,5363,3146,2181,515,4531,3149,1382,1223,13859,6147,7225,814,5449,2317,3132,368,5047,2741,2306,885,14004,3726,10278,33,382,184,198,618,10709,6743,3966
#注　1）男女別の不詳を含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#注　2）町名不詳を含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#注　3）農業，林業，漁業間格付不能含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
